,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,ASK,Unnamed: 7,Unnamed: 8,DEAL,Unnamed: 10,Unnamed: 11,Royalty Deal?,Barbara,Mark,Lori,Robert Herjavec,Daymond,Kevin,Guest,# Sharks,$ per shark,Details / Notes,Description,url1,url2,url3,url4,url5,company_lower
489,6.0,28.0,Zoom,Yes,Lifestyle / Home,Female,,,,"$100,000 ",33%,"$303,030 ",,1,,,,,,,1.0,"$100,000 ",,"If you watched Shark Tank on Friday, you might have seen Philly-based ZOOM Interiors strike a deal with Barbara Corcoran. After other sharks like Mark Cuban and Lori ...",http://www.phillymag.com/business/2015/05/11/shark-tank-deal-falls-through/,http://heavy.com/entertainment/2015/05/zoom-interiors-designers-shark-tank-products-episodes/,http://www.huffingtonpost.com/zoom-interiors-/zoom-does-shark-tank_1_b_7258320.html,http://sharktankblog.com/business/zomm/,http://abc.go.com/shows/shark-tank/,zoom
490,6.0,28.0,Sunscreen Mist,No,Lifestyle / Home,Male,,,,,,,,,,,,,,,0.0,,,"""Suntrepreneurs"" Tony Fayne & Josh Kaplan pitch Sunscreen Mist, their patented sunscreen application stations for outdoor venues, in Shark Tank episode 625",http://sharktankblog.com/business/sunscreen-mist/,http://sharktanksuccess.blogspot.com/2015/05/sunscreen-mist.html,https://www.facebook.com/sunscreenmistofficial,http://heavy.com/entertainment/2015/05/sunscreen-mist-shark-tank-products-episodes/,http://abc.go.com/shows/shark-tank/video/vdka0_aehmoud2,sunscreenmist
491,6.0,28.0,SynDaver Labs,Yes,Healthcare,Male,,,,"$3,000,000 ",25%,"$12,000,000 ",,,,,1.0,,,,1.0,"$3,000,000 ",,"SynDaver Labs, Tampa, Florida ... To connect with SynDaver Labs, sign up for Facebook today. Sign Up Log In. ... Sharktank I have two new creations in mind.",https://www.facebook.com/syndaverlabs,https://www.linkedin.com/pulse/psst-hey-you-watch-me-shark-tank-tonight-dr-christopher-sakezles,http://syndaver.com/,http://sharktankblog.com/business/syndaver-labs/,http://syndaver.com/news/syndaver-to-be-featured-on-shark-tank/,syndaverlabs
492,6.0,28.0,You Kick Ass,Yes,Children / Education,Female,,,,"$100,000 ",10%,"$1,000,000 ",,,1,,,,,,1.0,"$100,000 ",,"Entrepreneurs Keri Andrews and Alesia Glidewell pitch You Kick Ass, ... You Kick Ass Shark Tank Recap. ... You Kick Ass Company Information. Website. Facebook ...",http://sharktankblog.com/business/you-kick-ass/,http://www.geekwire.com/2015/you-kick-ass-the-company-that-turns-you-into-a-superhero-dives-into-shark-tank/,http://sharktanksuccess.blogspot.com/2015/05/you-kick-ass-action-figures.html,http://3dprint.com/64139/youkickass-3d-shark-tank/,http://tech.co/you-kick-ass-mark-cuban-shark-tank-2015-05,youkickass
493,6.0,29.0,Shark Wheel,Yes,Fitness / Sports,Male,,,,"$225,000 ",8%,"$3,000,000 ",Y,,1,,1.0,,,1.0,3.0,"$75,000 ",10% royalty until $500K; then converts to 5% equity,Shark Wheel is a wheel company founded by a small team in Southern California. If you want to know more about our products then visit our website.,http://sharkwheel.com/,https://www.facebook.com/SharkWheel,https://www.facebook.com/SharkTank,http://www.ocregister.com/articles/wheel-660136-patrick-shark.html,http://www.youtube.com/user/TheSharkwheel,sharkwheel
494,6.0,29.0,Gato Cafe,No,Uncertain / Other,Female,,,,,,,,,,,,,,,0.0,,,"""Catrepreneur"" Adriana Montano pitches the Gato Cafe, a coffee shop with cats, to the Sharks in Shark Tank episode 623, the season six finale.",http://sharktankblog.com/business/gato-cafe/,https://www.facebook.com/gatocafefl,http://sharktankblog.com/cat-cafe-gato-cafe/,http://heavy.com/entertainment/2015/05/gato-cafe-cat-shark-tank-products-episodes-season-6-finale/,http://sharktanksuccess.blogspot.com/2015/05/gato-cafe.html,gatocafe
495,6.0,29.0,Sway Motorsports,Yes,Green/CleanTech,Male,,,,"$300,000 ",20%,"$1,500,000 ",,,1,,,,,,1.0,"$300,000 ",,"Sway Motorsports. 5,536 likes · 24 talking about this. A New Angle on Transportation",https://www.facebook.com/pages/Sway-Motorsports/335926753135026,http://sharktanksuccess.blogspot.com/2015/05/sway-motor-sports.html?m=1,http://swaymotorsports.com/,http://sharktankblog.com/business/sway-motorsports/,http://heavy.com/news/2015/09/sway-motorsports-scooters-shark-tank-products-episodes-deals-mark-cuban/,swaymotorsports
496,6.0,29.0,Spikeball,Yes,Fitness / Sports,Male,,,,"$500,000 ",20%,"$2,500,000 ",,,,,,1,,,1.0,"$500,000 ",,"Shark Tank. 1,216,672 likes · 30,731 talking about this. Welcome to the Tank. Watch Shark Tank Fridays at 9|8c on ABC.",https://www.facebook.com/SharkTank?fref=ts,https://www.facebook.com/Spikeballgame,http://spikeball.com/,http://www.youtube.com/watch?v=-DL6opubE0E,http://on.aol.com/video/shark-tank--spikeball-gets-a-deal-518831531,spikeball
497,7.0,1.0,the beebo,Yes,Children / Education,Male,"$200,000 ",20%,"$1,000,000 ","$200,000 ",30%,"$666,667 ",,1,,,,,,1.0,2.0,"$100,000 ",Guest shark - Ashton Kutcher,"The Beebo, Loxahatchee, Florida. 5,591 likes · 432 talking about this. A better way to bottle-feed: a free hand bottle holder unlike anything else: a...",https://www.facebook.com/TheBeebo,http://www.thebeebo.com/,http://sharktanksuccess.blogspot.com/2015/09/the-beebo.html,http://www.business2community.com/social-buzz/shark-tank-the-beebo-get-a-deal-with-laurie-greiner-and-ashton-kutcher-for-200000-01338685,http://sharktankblog.com/business/beebo/,thebeebo
498,7.0,1.0,Acton,No,Fitness / Sports,Male,"$1,000,000 ",4%,"$28,571,429 ",,,,,,,,,,,,0.0,#DIV/0!,,"Peter Treadway pitches Acton, electric powered skates and scooters, to the Sharks in Shark Tank episode 701. Check for an update to see if a Shark bites!",http://sharktankblog.com/business/acton-skates-and-scooters/,http://www.business2community.com/social-buzz/shark-tank-with-ashton-kutcher-twitter-reactions-to-acton-rocket-skates-01338709,https://www.facebook.com/nancy.acton.3,http://emptylighthouse.com/shark-tank-recap-acton-rocket-skates-beebo-mclary-bros-drinking-vinegar-signal-vault-1562104320,https://es-la.facebook.com/tracy.acton1,acton
499,7.0,1.0,McClary Brothers Drinking Vinegars,No,Food and Beverage,Female,"$100,000 ",15%,"$666,667 ",,,,,,,,,,,,0.0,#DIV/0!,,"Mcclary Bros., Farmington, Michigan ... I ordered a case of vinegars after seeing the McClary brothers products on shark Tank. ... Michigan Cranberry Drinking Vinegar.",https://www.facebook.com/mcclarybros,https://www.mcclarybros.com/,http://heavy.com/news/2015/09/mcclary-bros-drinking-vinegar-shark-tank-products-episodes-season-7-premiere/,http://www.inquisitr.com/2443764/mcclary-bros-start-shark-tank-fight-over-drinking-vinegars/,http://sharktanksuccess.blogspot.com/2015/09/mcclary-bros-vinegar-drinks.html,mcclarybrothersdrinkingvinegars
500,7.0,1.0,SIGNALVAULT,Yes,Software / Tech,Male,"$200,000 ",13%,"$1,600,000 ","$200,000 ",25%,"$800,000 ",,,,1,1.0,,,,2.0,"$100,000 ",,"SignalVault is on Facebook. To connect with SignalVault, ... Having a great time at the tradeshow with Lori Greiner and some of the Shark Tank family in Orlando.",https://www.facebook.com/SignalVault/timeline/,http://sharktankblog.com/business/signalvault/,http://www.signal-vault.com/,http://www.business2community.com/social-buzz/shark-tank-with-ashton-kutcher-twitter-reactions-to-signal-vault-01338739,http://allsharktankproducts.com/,signalvault
501,7.0,2.0,O'Dang Hummus,Yes,Food and Beverage,Male,"$50,000 ",10%,"$500,000 ","$50,000 ",20%,"$250,000 ",,,,1,1.0,,,,2.0,"$25,000 ",,"To connect with O'Dang Hummus, sign up for Facebook today. Sign Up Log In. O'Dang Hummus. Food/Beverages. Public Cancel Save Changes. People. 11,528 likes. About. 35. 15.",https://www.facebook.com/ODangHummus,https://www.facebook.com/sharktanknation/posts/850062121703060,http://sharktankblog.com/business/odang-hummus/,http://today.ucf.edu/odang-ucfbusiness-hummus-company-lands-spot-on-abcs-shark-tank/,http://www.youtube.com/watch?v=77gbr4it8wU,o'danghummus
502,7.0,2.0,Splikity,No,Software / Tech,Male,"$200,000 ",10%,"$2,000,000 ",,,,,,,,,,,,,,,"Chad and Doug Clark hope to secure a Shark investment when they pitch Splikity, their password generator and management app, in Shark Tank episode 702",http://sharktankblog.com/business/splikity/,https://2paragraphs.com/2015/10/splikity-password-saving-app-on-shark-tank-5month/,http://www.business2community.com/social-buzz/shark-tank-twitter-reactions-to-splikity-01344676,http://sharktanksuccess.blogspot.com/2015/09/splikity-app.html,http://heavy.com/news/2015/10/splikity-app-passwords-shark-tank-products-episodes-season-7/,splikity
503,7.0,2.0,Mikki Bey,No,Fashion / Beauty,Female,"$300,000 ",20%,"$1,500,000 ",,,,,,,,,,,,,,,"Mikki Bey is the authority on eyelash extensions. With over 10 years of experience in the beauty industry, Mikki has become one of the most sought-after beauty ...",http://mblashes.com/,https://2paragraphs.com/2015/10/mikki-bey-eyelash-extensions-on-shark-tank-making-6-figures/,http://www.inquisitr.com/2479419/shark-tank-entrepreneur-mikki-bey-defends-crying-despite-criticism-from-barbara-corcoran/,http://www.huffingtonpost.com/mikki-bey/i-cried-on-shark-tank-last-week-and-im-not-sorry_b_8252998.html,http://heavy.com/news/2015/10/mikki-bey-eyelash-extensions-shark-tank-products-episodes-season-7/,mikkibey
504,7.0,2.0,Loliware,Yes,Food and Beverage,Female,"$150,000 ",10%,"$1,500,000 ","$600,000 ",25%,"$2,400,000 ",,1,1,,,,,,2.0,"$300,000 ",,"Chelsea Briganti and Leigh Ann Tucker hope the Sharks take a bite out of Loliware, their line of edible & biodegradable cups, in Shark Tank episode 702.",http://sharktankblog.com/business/loliware/,https://hiddenprofitprophet.com/2015/10/loliware-on-abc-shark-tank-best-deal-of-the-season/,http://www.business2community.com/social-buzz/shark-tank-twitter-reactions-to-loliware-01344816,https://2paragraphs.com/2015/10/loliware-edible-cups-on-shark-tank-3-per-cup/,http://sharktanksuccess.blogspot.com/2015/09/loliware-edible-cups.html,loliware
505,7.0,3.0,Foot Cardigan,Yes,Fashion / Beauty,Male,"$250,000 ",10%,"$2,500,000 ","$250,000 ",20%,"$1,250,000 ",,,1,,,,,1.0,2.0,"$125,000 ",Troy Carter,"Mytropolis by Foot Cardigan Your city. On foot. Sometimes, you’ve just gotta show your favorite city some love. And sometimes, that starts with your own two feet.",http://www.footcardigan.com/,https://www.facebook.com/footcardigan,https://www.facebook.com/footcardigan/timeline,http://sharktankblog.com/business/foot-cardigan/,http://www.dallasnews.com/business/headlines/20150929-foot-cardigan-will-be-on-shark-tank.ece,footcardigan
506,7.0,3.0,ValPark,No,Software / Tech,Male,"$300,000 ",20%,"$1,500,000 ",,,,,,,,,,,,,,,"ValPark Mobile. 369 likes · 5 talking about this. ... To connect with ValPark Mobile, sign up for Facebook today. Sign Up Log In. ... ""Shark Tank"" alum Wayne Johnson",https://www.facebook.com/ValParkMobile,http://heavy.com/news/2015/10/valpark-valet-parking-app-shark-tank-products-episodes-season-7/,http://www.business2community.com/social-buzz/shark-tank-valpark-mobile-valet-app-fails-to-get-a-deal-from-sharks-01349881,http://sharktanksuccess.blogspot.com/2015/10/valpark-mobile-app.html,http://sharktankblog.com/business/valpark-mobile/,valpark
507,7.0,3.0,The Two Guys Bowtie Company,Yes,Fashion / Beauty,Male,"$150,000 ",10%,"$1,500,000 ","$150,000 ",18%,"$857,143 ",Y,,,,,1,,1.0,2.0,"$75,000 ",10% royalty until $150K is repaid,SHARK TANK SPECIALS; All Wooden Bow Ties; Lapel Flowers; ... Facebook Twitter. All prices ... All prices are in USD Copyright 2016 Two Guys Bow Ties. 623 S. Peoria ...,http://www.woodenbowties.com/,http://sharktankblog.com/business/two-guys-bow-tie-company/,https://www.facebook.com/TwoGuysBowTies,http://heavy.com/news/2015/10/two-guys-bow-tie-wooden-fedoras-shark-tank-products-episodes-season-7/,http://thesharktankproducts.com/products/two-guys-bow-tie-co/,thetwoguysbowtiecompany
508,7.0,3.0,nerdwax,No,Fashion / Beauty,Mixed Team,"$80,000 ",20%,"$400,000 ",,,,,,,,,,,,,,,"Stop Slipping Glasses with Nerdwax, a beeswax based blend of all natural and certified organic ingredients specially formulated to keep your glasses in place.",http://www.nerdwax.com/,http://sharktankblog.com/business/nerdwax/,http://www.tennessean.com/story/money/2015/10/06/east-nashvilles-nerdwax-appear-shark-tank/73466898/,http://heavy.com/news/2015/10/nerdwax-glasses-shark-tank-products-episodes-season-7/,http://www.business2community.com/social-buzz/shark-tank-nerdwax-receives-deals-from-kevin-oleary-and-troy-carter-but-decline-01349912,nerdwax
